context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.17284678222338876,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,-0.1971055944258362,0.10144432754447558,-1.0825037578232846,-0.5839538358529728,1,False,False,False,0.2,True,right,1,1,53,0.2,0.10061803951091684
redder,0.11124751738793805,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,0.06552625839940916,-0.20141836125838047,-0.6998719049980391,-1.0068165246558287,2,False,False,False,-0.04,False,left,0,1,54,0.15,0.10061803951091684
redder,0.11124751738793805,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.08300151129404569,-0.08610235244150476,-0.8483996746914939,-0.8915005158389531,5,False,False,False,-0.04,False,right,1,0,55,0.15,0.10061803951091684
redder,0.11124751738793805,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.06530404209283631,-0.025029694028630367,-0.620094121304612,-0.9104278574260787,3,False,False,False,-0.2,False,left,0,1,56,0.15,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.16273741084236248,0.07532440400148419,-0.5526607525550857,-0.7800737593959641,3,False,False,False,-0.14,False,left,0,1,57,0.2,0.10061803951091684
redder,0.11124751738793805,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.006043071821973824,-0.007155442964878331,-0.7993550915754745,-0.7725536063623266,1,False,False,False,0.04,True,left,0,0,58,0.15,0.10061803951091684
redder,0.11124751738793805,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.01607347339546958,0.05546233373296013,-0.7314716367929178,-0.7999358296644882,4,False,False,False,-0.14,False,left,0,1,59,0.15,0.10061803951091684
redder,0.11124751738793805,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.02338117606865119,0.06417692116001945,-0.8320169873287971,-0.6512212422374287,0,False,False,False,0.14,True,right,1,1,60,0.15,0.10061803951091684
redder,0.11124751738793805,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.0629085972314914,0.000265819495458616,-0.9183067606289398,-0.7151323439019897,1,False,False,False,0.14,True,right,1,1,61,0.15,0.10061803951091684
redder,0.17284678222338876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.11256033923777839,0.3423360189071549,-0.5728378241596699,-0.5430621444902933,3,False,False,False,-0.2,False,left,0,1,62,0.2,0.10061803951091684
redder,0.11124751738793805,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.09578456171605804,0.2726570256840935,-0.7596136016813904,-0.4427411377133547,2,False,False,False,0.14,True,right,1,1,63,0.15,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.013614903292760189,-0.057253722122700655,-0.8690130666902085,-0.7726518855201489,5,False,False,False,0.14,True,right,1,1,64,0.2,0.10061803951091684
redder,0.17284678222338876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.011853612307488373,8.206817929092424e-05,-0.6735445510899599,-0.8853160952181574,0,False,False,False,-0.2,False,left,0,1,65,0.2,0.10061803951091684
redder,0.17284678222338876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.1338848164960004,0.019991207809339596,-0.5515133469014479,-0.8654069555881087,5,False,False,False,-0.2,False,left,0,1,66,0.2,0.10061803951091684
redder,0.17284678222338876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.01634607140661164,-0.15488228496119086,-0.7890520919908367,-0.9202804483586391,5,False,False,False,0.04,True,left,0,0,67,0.2,0.10061803951091684
